name,primary_muscle,secondary_muscles,equipment,experience_level,overview,instructions,tips,video_url,source_url
Hip Abduction Machine Video Exercise Guide,Abductors,"Abs, Glutes, Hamstrings","Abs, Glutes, Hamstrings","Abs, Glutes, Hamstrings","The hip abduction machine exercise is an exercise used to strengthen the abductors.The abductors play a critical role in core stability and having strong abductors can result in better personal records on thesquatanddeadlift.From an aesthetic perspective, performing hip abduction isolation exercises assists in the development of a full pair of glutes and hips.","Setup in an upright position with your back against the pad and your spine neutral.Exhale and push the legs apart as you open the pads.Once your hips are fully externally rotated, slowly return to the starting position.Repeat for the desired number of repetitions.","Experiment with foot and pelvis position. Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction.Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output.If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad).",https://www.youtube.com/embed/7pbZA7ncuq8?rel=0,https://www.muscleandstrength.com/exercises/hip-abduction-machine.html
Cable Hip Abduction Video Exercise Guide,Abductors,Glutes,Glutes,Glutes,"The Cable Hip Abduction exercise targets the hip abductors, particularly the gluteus medius and minimus.This exercise helps strengthen the muscles responsible for stabilizing the hips and improving lateral movement. It's effective for toning the glutes, improving hipmobility, and enhancing overall lower body strength and balance.Proper form is crucial to avoid unnecessary strain on the hip joint and ensure maximum muscle activation.","Attach an ankle strap to a low pulley on a cable machine.Stand next to the pulley machine and attach the ankle strap to the ankle furthest from the pulley machine.Stand with feet shoulder-width apart, and hold onto the machine or nearby support for balance.Keeping your leg straight, lift the strapped leg out to the side, leading with the heel, and engage your glutes and hip muscles.Pause, then slowly return your leg to the starting position with control, resisting the cable tension.Perform the desired number of reps, then switch legs.","Lift with control. Focus on raising your leg slowly and with control, avoiding swinging or jerking.When lifting your leg, lead with the heel to better activate the glutes and hip abductors.Engage your core to maintain stability and prevent excessive movement in your upper body.Raise your leg only to the point where you feel a strong contraction, not beyond your natural range of motion.",https://player.vimeo.com/video/760008214?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/cable-hip-abduction.html
Lying Floor Leg Raise Video Exercise Guide,Abs,None,None,None,The lying floor leg raise is a variation of theabdominal crunchand an exercise used to isolate the muscles of the abdomen.The lying floor leg raise is a flexion based exercise which keeps the lower abdominal muscles under constant tension during the entire range of motion.,"Lay supine in a relaxed position with your legs straight and your hands underneath your low back for support.Keep your legs straight and raise them towards your forehead while contracting your abdominals and exhaling.Once your abs are fully contracted and your legs are slightly above parallel, slowly lower your legs back to the starting position.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/r24ntO4IvKc?rel=0,https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html
Cable Crunch Video Exercise Guide,Abs,None,None,None,"The Cable Crunch is an effectivecoreexercise that targets the abdominal muscles, particularly the rectus abdominis.Unlikefloor crunches, the cable crunch reduces neck strain by allowing you to focus on using your abs without needing to lift your head or shoulders. It also helps improve spinal flexion, a fundamental movement for building a strong, functional core.This exercise helps strengthen and define the core,improve posture, and enhance overall abdominal endurance. Proper form is crucial to avoid strain on the lower back and ensure maximum activation of the ab muscles.","Attach a rope handle to the high pulley of a cable machine.Kneel in front of the machine and hold the rope with both hands, bringing it around your head.Keep your knees slightly bent and your hips stationary. This is the starting position.Engage your core and pull the rope down by crunching your torso forward.Continue to pull the rope towards your knees, focusing on contracting your abs. Keep your elbows fixed.Release the tension and slowly return to the starting position. This is one rep.Perform the desired number of reps while maintaining control and good form.","Use controlled movements. Perform the crunch slowly and with control to maximize muscle engagement and avoidinjury.Focus on crunching with your abs, not pulling with your arms. The arms should only guide the rope.Avoid arching your back too much. Keep the motion in your torso to protect your spine.Avoid using your hips or legs to assist in the movement. Focus on flexing your spine using your abs.",https://player.vimeo.com/video/760008287?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/cable-crunch.html
Weighted Crunch Video Exercise Guide,Abs,None,None,None,"The weighted crunch is a variation of thecrunchand an exercise used to build the abdominal muscles.Adding weight is a common form of progression used to make bodyweight exercises, such as the crunch, more challenging. Doing so allows for the lifter to progress, adapt, and build more muscle.","Lay supine in a relaxed position with your knees bent.Hold a weight plate directly over your chest and press it to extension.Raise your knees to 90 degrees, at which point they will be perpendicular to the floor.Exhale as you reach towards your toes with the weight plate.Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/6kHg3JAFNFo?rel=0,https://www.muscleandstrength.com/exercises/weighted-crunch.html
Dumbbell Side Bends Video Exercise Guide,Abs,None,None,None,,"This exercise works the obliques. Grasp a set of dumbbells. Stand straight up with one dumbbell in each hand, palms facing in.Keep your feet firmly on the floor with a shoulder width stance.Keeping your back straight and your eyes facing forwards, bend down to the right as far as you can, then back up again.Without pausing at the top, bend down to the left.Repeat for desired reps.​Side Bend Tips:Always keep your back straight, eyes facing forwards, and bend at the torso only.Concentrate on the stretch and contraction of the oblique muscles (down the side of your body).Keep the dumbbells close to your body.This exercise can also be performed while seated on the end of a bench.",,https://player.vimeo.com/video/877885243?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/dumbbell-side-bends.html
Plank Video Exercise Guide,Abs,Lower Back,Lower Back,Lower Back,"The plank is a core-strengthening exercise that targets the abdominals, lower back, shoulders, and glutes.Planks help build endurance, enhance balance, and prevent injuries by strengthening the muscles that support the spine. They also promote better posture and can improve athletic performance.With no equipment needed, planks are a versatile and efficient exercise for developing core strength and stability, making them a must-have in any fitness routine.","Start by lying face down on the floor. Place your forearms on the ground, elbows directly below your shoulders.Position your feet hip-width apart with your toes tucked under.Push through your forearms and toes to lift your body off the floor.Your body should form a straight line from your head to your heels. Keep your neck neutral by looking straight down, not forward.Tighten your core (imagine pulling your belly button toward your spine) and squeeze your glutes to prevent your hips from sagging or rising.Hold the position for as long as you can while maintaining good form.","If you're new to planks, it's important to build strength and endurance gradually. Here’s a beginner progression to help you work up to a full plank:Wall Plank: Stand facing a wall and place your hands on it at shoulder height. Step your feet back slightly and bend your elbows to create a straight line from your head to your heels. Hold for 30 seconds, focusing on keeping your core tight.Incline Plank: Use a bench or sturdy surface. Place your forearms on the bench and your feet on the floor, forming a straight line from head to heels. Engage your core and hold for 30 seconds.Knee Plank: Start in a standard plank position but with your knees on the ground instead of your toes. Keep your body in a straight line from head to knees, engaging your core. Hold for 30 seconds.Keep breathing steadily through the nose and mouth.Keep your body in a straight line, and avoid letting your hips sag or rise.Gradually increase your hold time by 5-10 seconds as you build strength.If holding for longer is too difficult, try breaking it into shorter sets (e.g., 2 sets of 20 seconds).",https://player.vimeo.com/video/877881002?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/hover.html
Hanging Leg Raise Video Exercise Guide,Abs,Forearms,Forearms,Forearms,,"The hanging leg raise is an awesome exercise for building the lower abs. All you need for this exercise is somewhere to hang from. It could be a chinup bar or it could be a tree.Once you're hanging, tense up the mid section. While keeping your legs straight, raise your them up slowly. You should raise your legs are high as possible.Pause for a second, and slowly lower your legs back to the starting position.Repeat for desired reps.​Leg Raise Tips:Speed is so important with the hanging leg raise. If you swing your legs, you're using momentum and your abs will not benefit much from the exercise.Do not allow your body to swing. Keep your torso as still and controlled as possible.Advanced lifters can add weight by holding a dumbbell between the feet.",,,https://www.muscleandstrength.com/exercises/hanging-leg-raise.html
Ab Crunch Video Exercise Guide,Abs,None,None,None,"The abdominal crunch, or ab crunch, is a flexion based abdominal exercise. It is a very common movement that even the newest of beginner lifters have probably tried before.Mostab workoutsinclude the ab crunch as it is thought to be one of the best core building exercises. However, instead of performing marathon sets of ab crunches, it is best to pair it with other ab movements such as theplankandhanging leg raiseto get a complete ab workout.The ab crunch replaced the sit up as the corner stone ab exercise. This is because people believed thesit upinvolved too much flexion which lends itself to lower back pain. Thus, it was replaced by the ab crunch, which accomplished the same movement pattern without overextending the spine.Some may still experience low back pain performing the ab crunch. If this is the case, it is best to stick with ab exercises that focus more on stability and less on flexion such as the plank.","Lay supine in a relaxed position with your knees up and hands across your chest.Exhale and squeeze your abs as you curl your upper body off the floor.Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/Plh1CyiPE_Y?rel=0,https://www.muscleandstrength.com/exercises/ab-crunch
Barbell Abdominal Rollouts Video Exercise Guide,Abs,Shoulders,Shoulders,Shoulders,,"Kneel on the floor/mat and grasp the barbell with a wider than shoulder width grip. You should have 5-10 lb plates loaded on each side of the barbell.Keeping your back and arms straight, slowly roll the barbell out in front of you until your arms are fully extended.Tense the abs and slowly roll the barbell back towards your knees.​Ab Rollout Tips:Keep your arms and back straight at all times.Do the exercise slowly, and concentrate on using your abdominal muscles to pull the barbell back towards you.For extra intensity barbell rollouts can be done standing.",,https://player.vimeo.com/video/877885260?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/abdominal-barbell-rollouts.html
Decline Bench Sit Up Video Exercise Guide,Abs,Hip Flexors,Hip Flexors,Hip Flexors,"The Decline Bench Sit Up is an effective core-strengthening exercise that targets the rectus abdominis (the main abdominal muscle) and works the hip flexors as secondary muscles.By performing this exercise on a decline bench, the angle increases the intensity of the movement, making it more challenging than a traditionalfloor sit up.The decline position requires greater activation of the abdominal muscles to lift the torso against gravity, helping to build strength and endurance in the core.","Position yourself on a decline bench, securing your feet under the foot pads.Lie back on the bench and position your arms over your chest or place them behind your head for support.Exhale and squeeze your abs as you curl your upper body off the bench, bringing your chest toward your knees.Pause at the top of the movement, then slowly lower your upper body back to the starting position. This is one rep.Perform the desired number of reps, maintaining proper form and control.","Exhale as you lift your torso and inhale as you lower yourself back down.If you want to engage the obliques, add atwisting motionto help improve posture, stability, and overall core function.Perform the sit up slowly and with control, both while rising and lowering, to maximize muscle engagement and avoid using momentum.Keep a neutral spine position throughout the movement; don’t let your back arch too much as you lower yourself.",https://player.vimeo.com/video/877880639?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/decline-situp.html
Sit Up Video Exercise Guide,Abs,None,None,None,"The sit up is a classic abdominal exercise.It’s rarely performed anymore, however, it’s still a very effective flexion based exercise for those looking to utilize it to target their core.There are some risks involved in performing the sit up as opposed tocrunches(orstability ball crunches). The primary one being the common complaint of lower back pain.One can perform sit ups as part of theirab workoutorfull body workout.","Lay supine in a relaxed position with your knees up and hands across your chest.Exhale and squeeze your abs as you curl your upper body off the floor.Once your torso is perpendicular to the floor, slowly lower yourself back to the starting position.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/MQDopvLZOS8?rel=0,https://www.muscleandstrength.com/exercises/sit-up.html
Side Plank Video Exercise Guide,Abs,Lower Back,Lower Back,Lower Back,,"The side plank is a great exercise for building core strength, and more specifically oblique strength. It's also a good balance exercise. It's your choice whether to use a mat in this exercise. Start by laying on your side with one hand on the floor and your feet on top of one another.If you prefer, you can rest on your elbow instead of your hand.Lift your hips up until your body is exactly straight.Now hold this position for as long as possible. You should feel this exercise in your abs and obliques.Complete the same for the opposite side of the body.​Side Plank Tips:Do not let your mid-section sag. Always stay perfectly straight.Do the side plank in front of the mirror to ensure you keep your technique tight!Try to hold your plank for a full minute. Hold the plank for longer periods of time for increased intensity.",,https://player.vimeo.com/video/877885425?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/side-hover.html
