name,primary_muscle,secondary_muscles,muscle_group_category,equipment,experience_level,mechanics_type,force_type,exercise_type,overview,instruction_step_count,tip_count,image_count,source_url,video_url,instruction_step_1,tip_1,name,primary_muscle,secondary_muscles,muscle_group_category,equipment,experience_level,mechanics_type,force_type,exercise_type,overview,instruction_step_count,tip_count,image_count,source_url,video_url,instructions_raw,tips_raw
Hip Abduction Machine,Abductors,"Abs, Glutes, Hamstrings",abductors,Machine,Beginner,Isolation,Push (Bilateral),Strength,"The hip abduction machine exercise is an exercise used to strengthen the abductors. The abductors play a critical role in core stability and having strong abductors can result in better personal records on the squat and deadlift. From an aesthetic perspective, performing hip abduction isolation exercises assists in the development of a full pair of glutes and hips.",1,1,0,https://www.muscleandstrength.com/exercises/hip-abduction-machine.html,https://www.youtube.com/embed/7pbZA7ncuq8?rel=0,"Setup in an upright position with your back against the pad and your spine neutral. Exhale and push the legs apart as you open the pads. Once your hips are fully externally rotated, slowly return to the starting position. Repeat for the desired number of repetitions.","Experiment with foot and pelvis position. Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction. Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output. If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad).",Hip Abduction Machine,Abductors,"Abs, Glutes, Hamstrings",abductors,Machine,Beginner,Isolation,Push (Bilateral),Strength,"The hip abduction machine exercise is an exercise used to strengthen the abductors. The abductors play a critical role in core stability and having strong abductors can result in better personal records on the squat and deadlift. From an aesthetic perspective, performing hip abduction isolation exercises assists in the development of a full pair of glutes and hips.",1,1,0,https://www.muscleandstrength.com/exercises/hip-abduction-machine.html,https://www.youtube.com/embed/7pbZA7ncuq8?rel=0,"Setup in an upright position with your back against the pad and your spine neutral. Exhale and push the legs apart as you open the pads. Once your hips are fully externally rotated, slowly return to the starting position. Repeat for the desired number of repetitions.","Experiment with foot and pelvis position. Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction. Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output. If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad)."
Cable Hip Abduction,Abductors,Glutes,abductors,Cable,Beginner,Isolation,N/A,Strength,"The Cable Hip Abduction exercise targets the hip abductors, particularly the gluteus medius and minimus. This exercise helps strengthen the muscles responsible for stabilizing the hips and improving lateral movement. It's effective for toning the glutes, improving hip mobility, and enhancing overall lower body strength and balance. Proper form is crucial to avoid unnecessary strain on the hip joint and ensure maximum muscle activation.",1,1,0,https://www.muscleandstrength.com/exercises/cable-hip-abduction.html,https://player.vimeo.com/video/760008214?badge=0&autopause=0&player_id=0&app_id=58479,"Attach an ankle strap to a low pulley on a cable machine. Stand next to the pulley machine and attach the ankle strap to the ankle furthest from the pulley machine. Stand with feet shoulder-width apart, and hold onto the machine or nearby support for balance. Keeping your leg straight, lift the strapped leg out to the side, leading with the heel, and engage your glutes and hip muscles. Pause, then slowly return your leg to the starting position with control, resisting the cable tension. Perform the desired number of reps, then switch legs.","Lift with control. Focus on raising your leg slowly and with control, avoiding swinging or jerking. When lifting your leg, lead with the heel to better activate the glutes and hip abductors. Engage your core to maintain stability and prevent excessive movement in your upper body. Raise your leg only to the point where you feel a strong contraction, not beyond your natural range of motion.",Cable Hip Abduction,Abductors,Glutes,abductors,Cable,Beginner,Isolation,N/A,Strength,"The Cable Hip Abduction exercise targets the hip abductors, particularly the gluteus medius and minimus. This exercise helps strengthen the muscles responsible for stabilizing the hips and improving lateral movement. It's effective for toning the glutes, improving hip mobility, and enhancing overall lower body strength and balance. Proper form is crucial to avoid unnecessary strain on the hip joint and ensure maximum muscle activation.",1,1,0,https://www.muscleandstrength.com/exercises/cable-hip-abduction.html,https://player.vimeo.com/video/760008214?badge=0&autopause=0&player_id=0&app_id=58479,"Attach an ankle strap to a low pulley on a cable machine. Stand next to the pulley machine and attach the ankle strap to the ankle furthest from the pulley machine. Stand with feet shoulder-width apart, and hold onto the machine or nearby support for balance. Keeping your leg straight, lift the strapped leg out to the side, leading with the heel, and engage your glutes and hip muscles. Pause, then slowly return your leg to the starting position with control, resisting the cable tension. Perform the desired number of reps, then switch legs.","Lift with control. Focus on raising your leg slowly and with control, avoiding swinging or jerking. When lifting your leg, lead with the heel to better activate the glutes and hip abductors. Engage your core to maintain stability and prevent excessive movement in your upper body. Raise your leg only to the point where you feel a strong contraction, not beyond your natural range of motion."
Lying Floor Leg Raise,Abs,None,abs,Bodyweight,Beginner,Isolation,Pull (Bilateral),Strength,The lying floor leg raise is a variation of the abdominal crunch and an exercise used to isolate the muscles of the abdomen. The lying floor leg raise is a flexion based exercise which keeps the lower abdominal muscles under constant tension during the entire range of motion.,1,1,0,https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html,https://www.youtube.com/embed/r24ntO4IvKc?rel=0,"Lay supine in a relaxed position with your legs straight and your hands underneath your low back for support. Keep your legs straight and raise them towards your forehead while contracting your abdominals and exhaling. Once your abs are fully contracted and your legs are slightly above parallel, slowly lower your legs back to the starting position. Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",Lying Floor Leg Raise,Abs,None,abs,Bodyweight,Beginner,Isolation,Pull (Bilateral),Strength,The lying floor leg raise is a variation of the abdominal crunch and an exercise used to isolate the muscles of the abdomen. The lying floor leg raise is a flexion based exercise which keeps the lower abdominal muscles under constant tension during the entire range of motion.,1,1,0,https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html,https://www.youtube.com/embed/r24ntO4IvKc?rel=0,"Lay supine in a relaxed position with your legs straight and your hands underneath your low back for support. Keep your legs straight and raise them towards your forehead while contracting your abdominals and exhaling. Once your abs are fully contracted and your legs are slightly above parallel, slowly lower your legs back to the starting position. Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck."
Cable Crunch,Abs,None,abs,Cable,Beginner,Isolation,Pull,Strength,"The Cable Crunch is an effective core exercise that targets the abdominal muscles, particularly the rectus abdominis. Unlike floor crunches, the cable crunch reduces neck strain by allowing you to focus on using your abs without needing to lift your head or shoulders. It also helps improve spinal flexion, a fundamental movement for building a strong, functional core. This exercise helps strengthen and define the core, improve posture, and enhance overall abdominal endurance. Proper form is crucial to avoid strain on the lower back and ensure maximum activation of the ab muscles.",1,1,0,https://www.muscleandstrength.com/exercises/cable-crunch.html,https://player.vimeo.com/video/760008287?badge=0&autopause=0&player_id=0&app_id=58479,"Attach a rope handle to the high pulley of a cable machine. Kneel in front of the machine and hold the rope with both hands, bringing it around your head. Keep your knees slightly bent and your hips stationary. This is the starting position. Engage your core and pull the rope down by crunching your torso forward. Continue to pull the rope towards your knees, focusing on contracting your abs. Keep your elbows fixed. Release the tension and slowly return to the starting position. This is one rep. Perform the desired number of reps while maintaining control and good form.","Use controlled movements. Perform the crunch slowly and with control to maximize muscle engagement and avoid injury. Focus on crunching with your abs, not pulling with your arms. The arms should only guide the rope. Avoid arching your back too much. Keep the motion in your torso to protect your spine. Avoid using your hips or legs to assist in the movement. Focus on flexing your spine using your abs.",Cable Crunch,Abs,None,abs,Cable,Beginner,Isolation,Pull,Strength,"The Cable Crunch is an effective core exercise that targets the abdominal muscles, particularly the rectus abdominis. Unlike floor crunches, the cable crunch reduces neck strain by allowing you to focus on using your abs without needing to lift your head or shoulders. It also helps improve spinal flexion, a fundamental movement for building a strong, functional core. This exercise helps strengthen and define the core, improve posture, and enhance overall abdominal endurance. Proper form is crucial to avoid strain on the lower back and ensure maximum activation of the ab muscles.",1,1,0,https://www.muscleandstrength.com/exercises/cable-crunch.html,https://player.vimeo.com/video/760008287?badge=0&autopause=0&player_id=0&app_id=58479,"Attach a rope handle to the high pulley of a cable machine. Kneel in front of the machine and hold the rope with both hands, bringing it around your head. Keep your knees slightly bent and your hips stationary. This is the starting position. Engage your core and pull the rope down by crunching your torso forward. Continue to pull the rope towards your knees, focusing on contracting your abs. Keep your elbows fixed. Release the tension and slowly return to the starting position. This is one rep. Perform the desired number of reps while maintaining control and good form.","Use controlled movements. Perform the crunch slowly and with control to maximize muscle engagement and avoid injury. Focus on crunching with your abs, not pulling with your arms. The arms should only guide the rope. Avoid arching your back too much. Keep the motion in your torso to protect your spine. Avoid using your hips or legs to assist in the movement. Focus on flexing your spine using your abs."
Weighted Crunch,Abs,None,abs,Other,Intermediate,Isolation,Pull,Strength,"The weighted crunch is a variation of the crunch and an exercise used to build the abdominal muscles. Adding weight is a common form of progression used to make bodyweight exercises, such as the crunch, more challenging. Doing so allows for the lifter to progress, adapt, and build more muscle.",1,1,0,https://www.muscleandstrength.com/exercises/weighted-crunch.html,https://www.youtube.com/embed/6kHg3JAFNFo?rel=0,"Lay supine in a relaxed position with your knees bent. Hold a weight plate directly over your chest and press it to extension. Raise your knees to 90 degrees, at which point they will be perpendicular to the floor. Exhale as you reach towards your toes with the weight plate. Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position. Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",Weighted Crunch,Abs,None,abs,Other,Intermediate,Isolation,Pull,Strength,"The weighted crunch is a variation of the crunch and an exercise used to build the abdominal muscles. Adding weight is a common form of progression used to make bodyweight exercises, such as the crunch, more challenging. Doing so allows for the lifter to progress, adapt, and build more muscle.",1,1,0,https://www.muscleandstrength.com/exercises/weighted-crunch.html,https://www.youtube.com/embed/6kHg3JAFNFo?rel=0,"Lay supine in a relaxed position with your knees bent. Hold a weight plate directly over your chest and press it to extension. Raise your knees to 90 degrees, at which point they will be perpendicular to the floor. Exhale as you reach towards your toes with the weight plate. Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position. Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck."
Dumbbell Side Bends,Abs,None,abs,Dumbbell,Beginner,Isolation,Pull,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/dumbbell-side-bends.html,https://player.vimeo.com/video/877885243?badge=0&autopause=0&player_id=0&app_id=58479,"This exercise works the obliques. Grasp a set of dumbbells. Stand straight up with one dumbbell in each hand, palms facing in. Keep your feet firmly on the floor with a shoulder width stance. Keeping your back straight and your eyes facing forwards, bend down to the right as far as you can, then back up again. Without pausing at the top, bend down to the left. Repeat for desired reps. ​Side Bend Tips: Always keep your back straight, eyes facing forwards, and bend at the torso only. Concentrate on the stretch and contraction of the oblique muscles (down the side of your body). Keep the dumbbells close to your body. This exercise can also be performed while seated on the end of a bench.",,Dumbbell Side Bends,Abs,None,abs,Dumbbell,Beginner,Isolation,Pull,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/dumbbell-side-bends.html,https://player.vimeo.com/video/877885243?badge=0&autopause=0&player_id=0&app_id=58479,"This exercise works the obliques. Grasp a set of dumbbells. Stand straight up with one dumbbell in each hand, palms facing in. Keep your feet firmly on the floor with a shoulder width stance. Keeping your back straight and your eyes facing forwards, bend down to the right as far as you can, then back up again. Without pausing at the top, bend down to the left. Repeat for desired reps. ​Side Bend Tips: Always keep your back straight, eyes facing forwards, and bend at the torso only. Concentrate on the stretch and contraction of the oblique muscles (down the side of your body). Keep the dumbbells close to your body. This exercise can also be performed while seated on the end of a bench.",
Hanging Leg Raise,Abs,Forearms,abs,Bodyweight,Advanced,Isolation,Pull,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/hanging-leg-raise.html,//cdn.muscleandstrength.com/video/hanginglegraise.mp4,"The hanging leg raise is an awesome exercise for building the lower abs. All you need for this exercise is somewhere to hang from. It could be a chinup bar or it could be a tree. Once you're hanging, tense up the mid section. While keeping your legs straight, raise your them up slowly. You should raise your legs are high as possible. Pause for a second, and slowly lower your legs back to the starting position. Repeat for desired reps. ​Leg Raise Tips: Speed is so important with the hanging leg raise. If you swing your legs, you're using momentum and your abs will not benefit much from the exercise. Do not allow your body to swing. Keep your torso as still and controlled as possible. Advanced lifters can add weight by holding a dumbbell between the feet.",,Hanging Leg Raise,Abs,Forearms,abs,Bodyweight,Advanced,Isolation,Pull,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/hanging-leg-raise.html,//cdn.muscleandstrength.com/video/hanginglegraise.mp4,"The hanging leg raise is an awesome exercise for building the lower abs. All you need for this exercise is somewhere to hang from. It could be a chinup bar or it could be a tree. Once you're hanging, tense up the mid section. While keeping your legs straight, raise your them up slowly. You should raise your legs are high as possible. Pause for a second, and slowly lower your legs back to the starting position. Repeat for desired reps. ​Leg Raise Tips: Speed is so important with the hanging leg raise. If you swing your legs, you're using momentum and your abs will not benefit much from the exercise. Do not allow your body to swing. Keep your torso as still and controlled as possible. Advanced lifters can add weight by holding a dumbbell between the feet.",
Side Plank,Abs,Lower Back,abs,Bodyweight,Beginner,Isolation,Static,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/side-hover.html,https://player.vimeo.com/video/877885425?badge=0&autopause=0&player_id=0&app_id=58479,"The side plank is a great exercise for building core strength, and more specifically oblique strength. It's also a good balance exercise. It's your choice whether to use a mat in this exercise. Start by laying on your side with one hand on the floor and your feet on top of one another. If you prefer, you can rest on your elbow instead of your hand. Lift your hips up until your body is exactly straight. Now hold this position for as long as possible. You should feel this exercise in your abs and obliques. Complete the same for the opposite side of the body. ​Side Plank Tips: Do not let your mid-section sag. Always stay perfectly straight. Do the side plank in front of the mirror to ensure you keep your technique tight! Try to hold your plank for a full minute. Hold the plank for longer periods of time for increased intensity.",,Side Plank,Abs,Lower Back,abs,Bodyweight,Beginner,Isolation,Static,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/side-hover.html,https://player.vimeo.com/video/877885425?badge=0&autopause=0&player_id=0&app_id=58479,"The side plank is a great exercise for building core strength, and more specifically oblique strength. It's also a good balance exercise. It's your choice whether to use a mat in this exercise. Start by laying on your side with one hand on the floor and your feet on top of one another. If you prefer, you can rest on your elbow instead of your hand. Lift your hips up until your body is exactly straight. Now hold this position for as long as possible. You should feel this exercise in your abs and obliques. Complete the same for the opposite side of the body. ​Side Plank Tips: Do not let your mid-section sag. Always stay perfectly straight. Do the side plank in front of the mirror to ensure you keep your technique tight! Try to hold your plank for a full minute. Hold the plank for longer periods of time for increased intensity.",
Plank,Abs,Lower Back,abs,Bodyweight,Beginner,Isolation,Static,Strength,"The plank is a core-strengthening exercise that targets the abdominals, lower back, shoulders, and glutes. Planks help build endurance, enhance balance, and prevent injuries by strengthening the muscles that support the spine. They also promote better posture and can improve athletic performance. With no equipment needed, planks are a versatile and efficient exercise for developing core strength and stability, making them a must-have in any fitness routine.",1,1,0,https://www.muscleandstrength.com/exercises/hover.html,https://player.vimeo.com/video/877881002?badge=0&autopause=0&player_id=0&app_id=58479,"Start by lying face down on the floor. Place your forearms on the ground, elbows directly below your shoulders. Position your feet hip-width apart with your toes tucked under. Push through your forearms and toes to lift your body off the floor. Your body should form a straight line from your head to your heels. Keep your neck neutral by looking straight down, not forward. Tighten your core (imagine pulling your belly button toward your spine) and squeeze your glutes to prevent your hips from sagging or rising. Hold the position for as long as you can while maintaining good form.","If you're new to planks, it's important to build strength and endurance gradually. Here’s a beginner progression to help you work up to a full plank: Wall Plank: Stand facing a wall and place your hands on it at shoulder height. Step your feet back slightly and bend your elbows to create a straight line from your head to your heels. Hold for 30 seconds, focusing on keeping your core tight. Incline Plank: Use a bench or sturdy surface. Place your forearms on the bench and your feet on the floor, forming a straight line from head to heels. Engage your core and hold for 30 seconds. Knee Plank: Start in a standard plank position but with your knees on the ground instead of your toes. Keep your body in a straight line from head to knees, engaging your core. Hold for 30 seconds. Keep breathing steadily through the nose and mouth. Keep your body in a straight line, and avoid letting your hips sag or rise. Gradually increase your hold time by 5-10 seconds as you build strength. If holding for longer is too difficult, try breaking it into shorter sets (e.g., 2 sets of 20 seconds).",Plank,Abs,Lower Back,abs,Bodyweight,Beginner,Isolation,Static,Strength,"The plank is a core-strengthening exercise that targets the abdominals, lower back, shoulders, and glutes. Planks help build endurance, enhance balance, and prevent injuries by strengthening the muscles that support the spine. They also promote better posture and can improve athletic performance. With no equipment needed, planks are a versatile and efficient exercise for developing core strength and stability, making them a must-have in any fitness routine.",1,1,0,https://www.muscleandstrength.com/exercises/hover.html,https://player.vimeo.com/video/877881002?badge=0&autopause=0&player_id=0&app_id=58479,"Start by lying face down on the floor. Place your forearms on the ground, elbows directly below your shoulders. Position your feet hip-width apart with your toes tucked under. Push through your forearms and toes to lift your body off the floor. Your body should form a straight line from your head to your heels. Keep your neck neutral by looking straight down, not forward. Tighten your core (imagine pulling your belly button toward your spine) and squeeze your glutes to prevent your hips from sagging or rising. Hold the position for as long as you can while maintaining good form.","If you're new to planks, it's important to build strength and endurance gradually. Here’s a beginner progression to help you work up to a full plank: Wall Plank: Stand facing a wall and place your hands on it at shoulder height. Step your feet back slightly and bend your elbows to create a straight line from your head to your heels. Hold for 30 seconds, focusing on keeping your core tight. Incline Plank: Use a bench or sturdy surface. Place your forearms on the bench and your feet on the floor, forming a straight line from head to heels. Engage your core and hold for 30 seconds. Knee Plank: Start in a standard plank position but with your knees on the ground instead of your toes. Keep your body in a straight line from head to knees, engaging your core. Hold for 30 seconds. Keep breathing steadily through the nose and mouth. Keep your body in a straight line, and avoid letting your hips sag or rise. Gradually increase your hold time by 5-10 seconds as you build strength. If holding for longer is too difficult, try breaking it into shorter sets (e.g., 2 sets of 20 seconds)."
Ab Crunch,Abs,None,abs,Bodyweight,Beginner,Isolation,Pull (Bilateral),Strength,"The abdominal crunch, or ab crunch, is a flexion based abdominal exercise. It is a very common movement that even the newest of beginner lifters have probably tried before. Most ab workouts include the ab crunch as it is thought to be one of the best core building exercises. However, instead of performing marathon sets of ab crunches, it is best to pair it with other ab movements such as the plank and hanging leg raise to get a complete ab workout. The ab crunch replaced the sit up as the corner stone ab exercise. This is because people believed the sit up involved too much flexion which lends itself to lower back pain. Thus, it was replaced by the ab crunch, which accomplished the same movement pattern without overextending the spine. Some may still experience low back pain performing the ab crunch. If this is the case, it is best to stick with ab exercises that focus more on stability and less on flexion such as the plank.",1,1,0,https://www.muscleandstrength.com/exercises/ab-crunch,https://www.youtube.com/embed/Plh1CyiPE_Y?rel=0,"Lay supine in a relaxed position with your knees up and hands across your chest. Exhale and squeeze your abs as you curl your upper body off the floor. Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position. Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",Ab Crunch,Abs,None,abs,Bodyweight,Beginner,Isolation,Pull (Bilateral),Strength,"The abdominal crunch, or ab crunch, is a flexion based abdominal exercise. It is a very common movement that even the newest of beginner lifters have probably tried before. Most ab workouts include the ab crunch as it is thought to be one of the best core building exercises. However, instead of performing marathon sets of ab crunches, it is best to pair it with other ab movements such as the plank and hanging leg raise to get a complete ab workout. The ab crunch replaced the sit up as the corner stone ab exercise. This is because people believed the sit up involved too much flexion which lends itself to lower back pain. Thus, it was replaced by the ab crunch, which accomplished the same movement pattern without overextending the spine. Some may still experience low back pain performing the ab crunch. If this is the case, it is best to stick with ab exercises that focus more on stability and less on flexion such as the plank.",1,1,0,https://www.muscleandstrength.com/exercises/ab-crunch,https://www.youtube.com/embed/Plh1CyiPE_Y?rel=0,"Lay supine in a relaxed position with your knees up and hands across your chest. Exhale and squeeze your abs as you curl your upper body off the floor. Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position. Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck."
